backlink,status_code,is_doFollow,is_exist,target_url,position,anchor_text,anchor_type,externalLinks,hasManyBacklinks,ip,countryCode,country,from_spam_heavy_country,rank,pagerank,AlexaTrafficRank,AlexaReach,AlexaRank,AlexaRankCountry,AlexaRankCountryCode
https://www.raisedtoday.com/fr/soci%C3%A9t%C3%A9/quantamix-solutions,200,True,True,https://quantamixsolutions.com/,body,"
										quantamixsolutions.com/
									",text,97,False,104.24.120.60,US,United States,False,115552367,0.55,682345,606448,176382,India,IN
https://themacmarketer.com/a-guide-to-top-10-ai-tools-and-techniques-in-seo-for-digital-marketing-quantamix-solutions/,200,True,True,https://quantamixsolutions.com/blog/40/ai-tools-and-techniques-in-seo-for-affiliate-marketing,body,A Guide to Top 10 AI tools and techniques in SEO for Digital Marketing | Quantamix Solutions,text,15,False,94.237.79.108,SG,Singapore,False,19583346,2.13,5726678,5201003,,,
https://www.crunchbase.com/organization/quantamix-solutions,403,True,False,,,,,1,False,104.22.63.68,US,United States,False,1229,6.35,3984,5170,948,United States,US
"https://www.glassdoor.com/Jobs/Quantamix-Solutions-Amsterdam-Jobs-EI_IE2852604.0,19_IL.20,29_IM1112.htm",403,True,False,,,,,0,False,104.17.91.51,US,United States,False,2022,6.15,447,479,127,United States,US
"https://www.glassdoor.com/Location/Quantamix-Solutions-Uithoorn-Location-EI_IE2852604.0,19_IL.20,28_IC3065372.htm",403,True,False,,,,,0,False,104.17.91.51,US,United States,False,2022,6.15,447,479,127,United States,US
https://angel.co/company/quantamix-solutions-1,403,False,False,,,,,1,False,104.18.24.39,US,United States,False,10550,5.71,6197,7161,2574,United States,US
https://oblcc.com/quantamix,200,True,False,,,,,19,False,198.49.23.145,US,United States,False,3118963,3.46,,,,,
https://www.zaubacorp.com/company/QUANTAMIX-SOLUTIONS-PRIVATE-LIMITED/U72200PN2019PTC181629,200,True,False,,,,,27,False,13.235.181.248,IN,India,True,255974,4.48,6479,6258,527,India,IN
https://www.glassdoor.com.au/Location/All-Quantamix-Solutions-Office-Locations-E2852604.htm,403,True,False,,,,,0,False,104.16.203.90,US,United States,False,838534,4.2,24755,23915,326,Australia,AU
https://commons.wikimedia.org/wiki/File:Quantamix_Solutions_Logo.png,200,True,False,,,,,80,False,208.80.154.224,US,United States,False,68,8.02,325,294,302,United States,US
https://www.iamexpat.nl/career/jobs-netherlands/recruitment-agencies-and-companies/quantamix-solutions-bv,200,True,False,,,,,254,True,159.69.245.13,DE,Germany,False,111324,4.72,111922,91775,89781,India,IN
https://graduateland.com/employer/jobs/quantamix-solutions-bv,200,True,False,,,,,80,False,54.76.82.221,IE,Ireland,False,1587133,3.8,158285,149472,,,
https://www.glassdoor.sg/Reviews/Quantamix-Solutions-Reviews-E2852604.htm,403,True,False,,,,,0,False,104.16.95.86,US,United States,False,941731,4.08,18218,18869,108,Singapore,SG
https://europe-internship.com/employer/harish77kumar/,200,True,False,,,,,12,False,82.98.139.204,ES,Spain,False,5054452,3.09,1063529,957090,,,
https://www.naukri.com/recruiter-job-listings-Python-Developer-Quantamix-Solutions-Pvt-Ltd-Bengaluru-Bangalore-Pune-Jaipur-2-to-4-years-7634208,200,True,False,,,,,64,False,54.251.103.25,SG,Singapore,False,71227,5.06,449,602,38,India,IN
https://www.chemarc.com/companies/company_detail/quantamix-solutions-private-limited/U72200PN2019PTC181629,200,True,False,,,,,50,False,35.240.242.143,,,False,14064885,2.35,414452,369582,44798,India,IN
https://cleartax.in/f/company/quantamix-solutions-private-limited/U72200PN2019PTC181629,200,True,False,,,,,35,False,13.226.50.6,US,United States,False,104602,4.75,2236,2157,154,India,IN
https://empowerednews.net/content-automation-ai-tools-market-detailed-swot-analysis-by-2027-quantamix-solutions-scoop-it-stats-llc-wordsmith-wordlift-srl/181672469/,200,True,False,,,,,6,False,172.67.165.194,US,United States,False,785344,4.22,289833,372685,29770,India,IN
https://www.hubspot.com/agencies/growack-com,200,True,False,,,,,0,False,104.19.155.83,US,United States,False,1907,6.17,728,1034,366,United States,US
http://eurobankingonline.org/,403,True,False,,,,,0,False,185.135.241.56,NL,Netherlands,False,41291075,1.75,,,,,
